mac;time;moisture;temperature
70:B8:F6:91:0A:FC;2025/07/30 17:23:30;22.40;32.40
70:B8:F6:91:0A:FC;2025/07/30 17:53:32;22.60;32.40
70:B8:F6:91:0A:FC;2025/07/30 18:23:33;22.80;38.30
70:B8:F6:91:0A:FC;2025/07/30 18:53:35;19.00;38.90
70:B8:F6:91:0A:FC;2025/07/30 19:23:36;17.80;39.40
70:B8:F6:91:0A:FC;2025/07/30 19:53:38;23.00;39.80
70:B8:F6:91:0A:FC;2025/07/30 20:23:39;21.30;39.70
70:B8:F6:91:0A:FC;2025/07/30 20:53:41;22.90;39.70
70:B8:F6:91:0A:FC;2025/07/30 21:23:42;23.00;39.40
70:B8:F6:91:0A:FC;2025/07/30 21:53:44;22.40;38.80
70:B8:F6:91:0A:FC;2025/07/30 22:23:45;23.10;37.70
70:B8:F6:91:0A:FC;2025/07/30 22:53:47;24.80;37.20
70:B8:F6:91:0A:FC;2025/07/30 23:23:48;26.30;36.60
70:B8:F6:91:0A:FC;2025/07/30 23:53:50;27.10;35.70
70:B8:F6:91:0A:FC;2025/07/31 00:23:51;29.60;33.50
70:B8:F6:91:0A:FC;2025/07/31 00:53:53;30.90;35.20
70:B8:F6:91:0A:FC;2025/07/31 01:23:54;30.90;35.80
70:B8:F6:91:0A:FC;2025/07/31 01:53:56;30.40;34.20
70:B8:F6:91:0A:FC;2025/07/31 02:23:58;31.90;34.50
70:B8:F6:91:0A:FC;2025/07/31 02:53:59;33.30;34.20
70:B8:F6:91:0A:FC;2025/07/31 03:24:01;33.70;33.80
70:B8:F6:91:0A:FC;2025/07/31 03:54:02;31.80;32.60
70:B8:F6:91:0A:FC;2025/07/31 04:24:04;32.10;32.90
70:B8:F6:91:0A:FC;2025/07/31 04:54:05;33.40;32.30
70:B8:F6:91:0A:FC;2025/07/31 05:24:07;33.00;32.20
70:B8:F6:91:0A:FC;2025/07/31 05:54:08;34.80;33.00
70:B8:F6:91:0A:FC;2025/07/31 06:24:10;34.20;32.80
70:B8:F6:91:0A:FC;2025/07/31 06:54:11;35.70;32.40
70:B8:F6:91:0A:FC;2025/07/31 07:24:13;35.00;32.00
70:B8:F6:91:0A:FC;2025/07/31 07:54:14;35.90;31.90
70:B8:F6:91:0A:FC;2025/07/31 08:24:16;37.60;32.70
70:B8:F6:91:0A:FC;2025/07/31 08:54:17;35.60;32.80
70:B8:F6:91:0A:FC;2025/07/31 09:24:19;33.90;31.80
70:B8:F6:91:0A:FC;2025/07/31 09:54:20;35.20;32.80
70:B8:F6:91:0A:FC;2025/07/31 10:24:22;33.40;34.00
70:B8:F6:91:0A:FC;2025/07/31 10:54:24;34.80;34.50
70:B8:F6:91:0A:FC;2025/07/31 11:24:25;32.60;34.90
70:B8:F6:91:0A:FC;2025/07/31 11:54:27;29.80;35.10
70:B8:F6:91:0A:FC;2025/07/31 12:24:28;28.30;35.50
70:B8:F6:91:0A:FC;2025/07/31 12:54:30;26.50;35.80
70:B8:F6:91:0A:FC;2025/07/31 13:24:31;24.00;36.20
70:B8:F6:91:0A:FC;2025/07/31 13:54:33;20.70;36.50
70:B8:F6:91:0A:FC;2025/07/31 14:24:34;18.90;37.40
70:B8:F6:91:0A:FC;2025/07/31 14:54:36;18.40;37.80
70:B8:F6:91:0A:FC;2025/07/31 15:24:37;19.40;38.20
70:B8:F6:91:0A:FC;2025/07/31 15:54:39;18.50;38.60
70:B8:F6:91:0A:FC;2025/07/31 16:24:40;20.00;38.60
70:B8:F6:91:0A:FC;2025/07/31 16:54:42;17.90;39.10
70:B8:F6:91:0A:FC;2025/07/31 17:24:43;18.70;39.50
70:B8:F6:91:0A:FC;2025/07/31 17:54:45;21.70;40.10
70:B8:F6:91:0A:FC;2025/07/31 18:24:46;21.50;40.20
70:B8:F6:91:0A:FC;2025/07/31 18:54:48;26.50;40.80
70:B8:F6:91:0A:FC;2025/07/31 19:24:49;24.70;40.80
70:B8:F6:91:0A:FC;2025/07/31 19:54:51;26.50;40.40
70:B8:F6:91:0A:FC;2025/07/31 20:24:53;22.80;40.30
70:B8:F6:91:0A:FC;2025/07/31 20:54:54;23.60;40.00
70:B8:F6:91:0A:FC;2025/07/31 21:24:56;22.90;39.50
70:B8:F6:91:0A:FC;2025/07/31 21:54:57;24.40;38.90
70:B8:F6:91:0A:FC;2025/07/31 22:24:59;22.90;38.20
70:B8:F6:91:0A:FC;2025/07/31 22:55:00;23.30;36.90
70:B8:F6:91:0A:FC;2025/07/31 23:25:02;24.70;36.20
70:B8:F6:91:0A:FC;2025/07/31 23:55:03;25.00;35.90
70:B8:F6:91:0A:FC;2025/08/01 00:25:05;24.30;34.90
70:B8:F6:91:0A:FC;2025/08/01 00:55:06;27.00;34.50
70:B8:F6:91:0A:FC;2025/08/01 01:25:08;26.80;34.90
70:B8:F6:91:0A:FC;2025/08/01 01:55:09;26.10;34.70
70:B8:F6:91:0A:FC;2025/08/01 02:25:11;27.10;33.20
70:B8:F6:91:0A:FC;2025/08/01 02:55:12;29.00;33.10
70:B8:F6:91:0A:FC;2025/08/01 03:25:14;28.50;33.40
70:B8:F6:91:0A:FC;2025/08/01 03:55:15;24.90;32.70
70:B8:F6:91:0A:FC;2025/08/01 04:25:17;28.60;31.60
70:B8:F6:91:0A:FC;2025/08/01 04:55:19;26.40;32.60
70:B8:F6:91:0A:FC;2025/08/01 05:25:20;28.60;33.40
70:B8:F6:91:0A:FC;2025/08/01 05:55:22;27.90;32.90
70:B8:F6:91:0A:FC;2025/08/01 06:25:23;30.80;32.60
70:B8:F6:91:0A:FC;2025/08/01 06:55:25;31.20;33.20
70:B8:F6:91:0A:FC;2025/08/01 07:25:26;31.80;33.60
70:B8:F6:91:0A:FC;2025/08/01 07:55:28;30.70;33.30
70:B8:F6:91:0A:FC;2025/08/01 08:25:29;33.50;33.30
70:B8:F6:91:0A:FC;2025/08/01 08:55:31;33.60;33.10
70:B8:F6:91:0A:FC;2025/08/01 09:25:32;31.80;33.90
70:B8:F6:91:0A:FC;2025/08/01 09:55:34;32.70;32.80
70:B8:F6:91:0A:FC;2025/08/01 10:25:35;34.50;34.30
70:B8:F6:91:0A:FC;2025/08/01 10:55:37;28.30;34.10
70:B8:F6:91:0A:FC;2025/08/01 11:25:38;27.90;34.70
70:B8:F6:91:0A:FC;2025/08/01 11:55:40;28.10;34.90
70:B8:F6:91:0A:FC;2025/08/01 12:25:41;24.60;35.80
70:B8:F6:91:0A:FC;2025/08/01 12:55:43;22.90;36.20
70:B8:F6:91:0A:FC;2025/08/01 13:25:44;21.60;37.00
70:B8:F6:91:0A:FC;2025/08/01 13:55:46;20.80;37.50
70:B8:F6:91:0A:FC;2025/08/01 14:25:48;19.60;38.60
70:B8:F6:91:0A:FC;2025/08/01 14:55:49;18.80;38.40
70:B8:F6:91:0A:FC;2025/08/01 15:25:51;18.30;38.80
70:B8:F6:91:0A:FC;2025/08/01 15:55:52;19.30;39.20
70:B8:F6:91:0A:FC;2025/08/01 16:25:54;18.10;39.60
70:B8:F6:91:0A:FC;2025/08/01 16:55:55;17.60;39.30
70:B8:F6:91:0A:FC;2025/08/01 17:25:57;18.00;39.80
70:B8:F6:91:0A:FC;2025/08/01 17:55:58;17.50;40.00
70:B8:F6:91:0A:FC;2025/08/01 18:26:00;23.40;40.40
70:B8:F6:91:0A:FC;2025/08/01 18:56:01;25.30;40.50
70:B8:F6:91:0A:FC;2025/08/01 19:26:03;25.90;40.10
70:B8:F6:91:0A:FC;2025/08/01 19:56:04;23.60;40.10
70:B8:F6:91:0A:FC;2025/08/01 20:26:06;23.80;40.00
70:B8:F6:91:0A:FC;2025/08/01 20:56:07;24.20;39.30
70:B8:F6:91:0A:FC;2025/08/01 21:26:09;24.80;39.00
70:B8:F6:91:0A:FC;2025/08/01 21:56:10;23.70;38.20
70:B8:F6:91:0A:FC;2025/08/01 22:26:12;23.70;38.30
70:B8:F6:91:0A:FC;2025/08/01 22:56:14;25.20;35.00
70:B8:F6:91:0A:FC;2025/08/01 23:26:15;24.50;37.00
70:B8:F6:91:0A:FC;2025/08/01 23:56:17;25.00;37.40
70:B8:F6:91:0A:FC;2025/08/02 00:26:18;25.70;37.30
70:B8:F6:91:0A:FC;2025/08/02 00:56:20;26.80;37.40
70:B8:F6:91:0A:FC;2025/08/02 01:26:21;27.30;36.20
70:B8:F6:91:0A:FC;2025/08/02 01:56:23;28.00;36.60
70:B8:F6:91:0A:FC;2025/08/02 02:26:24;28.80;33.60
70:B8:F6:91:0A:FC;2025/08/02 02:56:26;33.90;30.70
70:B8:F6:91:0A:FC;2025/08/02 03:26:27;30.60;32.90
70:B8:F6:91:0A:FC;2025/08/02 03:56:29;30.30;33.60
70:B8:F6:91:0A:FC;2025/08/02 04:26:30;29.90;32.80
70:B8:F6:91:0A:FC;2025/08/02 04:56:32;32.10;32.90
70:B8:F6:91:0A:FC;2025/08/02 05:26:33;33.40;33.00
70:B8:F6:91:0A:FC;2025/08/02 05:56:35;32.70;33.50
70:B8:F6:91:0A:FC;2025/08/02 06:26:36;34.30;33.90
70:B8:F6:91:0A:FC;2025/08/02 06:56:38;33.10;34.30
70:B8:F6:91:0A:FC;2025/08/02 07:26:39;34.40;34.00
70:B8:F6:91:0A:FC;2025/08/02 07:56:41;34.50;33.50
70:B8:F6:91:0A:FC;2025/08/02 08:26:43;37.30;33.30
70:B8:F6:91:0A:FC;2025/08/02 08:56:44;34.00;32.80
70:B8:F6:91:0A:FC;2025/08/02 09:26:46;36.30;32.20
70:B8:F6:91:0A:FC;2025/08/02 09:56:47;35.90;32.90
70:B8:F6:91:0A:FC;2025/08/02 10:26:49;34.80;33.20
70:B8:F6:91:0A:FC;2025/08/02 10:56:50;33.00;34.60
70:B8:F6:91:0A:FC;2025/08/02 11:26:52;32.30;35.10
70:B8:F6:91:0A:FC;2025/08/02 11:56:53;32.60;36.20
70:B8:F6:91:0A:FC;2025/08/02 12:26:55;32.10;37.10
70:B8:F6:91:0A:FC;2025/08/02 12:56:56;26.80;37.40
70:B8:F6:91:0A:FC;2025/08/02 13:26:58;22.70;37.30
70:B8:F6:91:0A:FC;2025/08/02 13:56:59;21.60;38.20
70:B8:F6:91:0A:FC;2025/08/02 14:27:01;20.70;39.50
70:B8:F6:91:0A:FC;2025/08/02 14:57:02;23.60;39.60
70:B8:F6:91:0A:FC;2025/08/02 15:27:04;21.70;40.00
70:B8:F6:91:0A:FC;2025/08/02 15:57:05;22.10;40.00
70:B8:F6:91:0A:FC;2025/08/02 16:27:07;19.90;39.90
70:B8:F6:91:0A:FC;2025/08/02 16:57:09;25.00;40.50
70:B8:F6:91:0A:FC;2025/08/02 17:27:10;26.10;41.00
70:B8:F6:91:0A:FC;2025/08/02 17:57:12;20.20;39.10
70:B8:F6:91:0A:FC;2025/08/02 18:27:13;20.80;39.40
70:B8:F6:91:0A:FC;2025/08/02 18:57:15;21.10;41.00
70:B8:F6:91:0A:FC;2025/08/02 19:27:16;20.90;39.90
70:B8:F6:91:0A:FC;2025/08/02 19:57:18;22.70;38.90
70:B8:F6:91:0A:FC;2025/08/02 20:27:19;26.10;40.50
70:B8:F6:91:0A:FC;2025/08/02 20:57:21;25.40;39.50
70:B8:F6:91:0A:FC;2025/08/02 21:27:22;26.00;39.40
70:B8:F6:91:0A:FC;2025/08/02 21:57:24;24.00;38.60
70:B8:F6:91:0A:FC;2025/08/02 22:27:25;24.10;37.70
70:B8:F6:91:0A:FC;2025/08/02 22:57:27;25.40;37.70
70:B8:F6:91:0A:FC;2025/08/02 23:27:28;25.20;37.80
70:B8:F6:91:0A:FC;2025/08/02 23:57:30;23.90;35.90
70:B8:F6:91:0A:FC;2025/08/03 00:27:31;27.60;36.10
70:B8:F6:91:0A:FC;2025/08/03 00:57:33;25.20;35.10
70:B8:F6:91:0A:FC;2025/08/03 01:27:34;27.10;33.60
70:B8:F6:91:0A:FC;2025/08/03 01:57:36;26.10;34.70
70:B8:F6:91:0A:FC;2025/08/03 02:27:38;28.40;34.20
70:B8:F6:91:0A:FC;2025/08/03 02:57:39;30.00;31.80
70:B8:F6:91:0A:FC;2025/08/03 03:27:41;29.60;32.60
